,Date,Time,League,Home_Team,Away_Team,Odd_Home_Mean,Odd_Away_Mean,Pred_Score_Home,Pred_Score_Away,Predicted_Result,Predicted_Points_Sum,Line,Predicted_Line,Difference,Actual_Score_Home,Actual_Score_Away
38.0,08/10/2021,17:30:00,Euroleague,Baskonia,Olimpia Milano,2.41,1.58,76.0,77.0,Diplo,153.0,153.5,Under,0.5,64.0,78.0
39.0,08/10/2021,18:00:00,Super-Lig,Petkim Spor,Galatasaray,2.71,1.44,78.0,83.0,Diplo,161.0,161.5,Under,0.5,81.0,95.0
40.0,08/10/2021,18:00:00,Super-Lig,Darussafaka,Tofas,2.35,1.56,78.0,81.0,Diplo,159.0,160.0,Under,1.0,94.0,78.0
41.0,08/10/2021,18:30:00,Basket-League,AEK Athens,Larisa,1.16,5.0,88.0,76.0,Assos,164.0,162.5,Over,1.5,81.0,69.0
42.0,09/10/2021,10:00:00,Basket-League,Ionikos,Aris,1.65,2.19,77.0,75.0,Assos,152.0,152.5,Under,0.5,93.0,83.0
43.0,09/10/2021,12:30:00,Basket-League,Iraklis,Peristeri,2.09,1.7,78.0,80.0,Diplo,158.0,158.5,Under,0.5,76.0,79.0
44.0,09/10/2021,14:00:00,Basket-League,Kolossos Rhodes,Apollon Patras,1.38,2.95,79.0,73.0,Assos,152.0,153.5,Under,1.5,73.0,56.0
46.0,09/10/2021,14:00:00,Basket-League,Promitheas,PAOK,1.26,3.74,85.0,78.0,Assos,163.0,162.5,Over,0.5,84.0,77.0
47.0,09/10/2021,14:00:00,Super-Lig,Bursaspor,Besiktas,1.5,2.51,80.0,77.0,Assos,157.0,156.5,Over,0.5,73.0,76.0
48.0,09/10/2021,14:00:00,BBL,Gottingen,Bonn,3.25,1.34,79.0,86.0,Diplo,165.0,165.0,Under,0.0,90.0,81.0
49.0,09/10/2021,14:00:00,ACB,Joventut Badalona,Manresa,1.38,3.09,85.0,80.0,Assos,165.0,164.0,Over,1.0,105.0,61.0
50.0,09/10/2021,14:00:00,ACB,Unicaja,Breogan,1.35,3.26,85.0,78.0,Assos,163.0,162.0,Over,1.0,72.0,64.0
52.0,09/10/2021,16:00:00,Lega-A,Trento,Cremona,1.43,2.79,84.0,78.0,Assos,162.0,161.0,Over,1.0,84.0,68.0
53.0,09/10/2021,16:00:00,Super-Lig,Bahcesehir Kol.,Fenerbahce,2.99,1.36,72.0,79.0,Diplo,151.0,155.5,Under,4.5,78.0,79.0
54.0,09/10/2021,16:00:00,LNB,Gravelines-Dunkerque,Fos-sur-Mer,1.16,5.12,84.0,73.0,Assos,157.0,156.5,Over,0.5,74.0,72.0
55.0,09/10/2021,16:00:00,LNB,JL Bourg,Strasbourg,1.34,3.23,82.0,75.0,Assos,157.0,156.0,Over,1.0,65.0,57.0
45.0,09/10/2021,17:00:00,Basket-League,Lavrio,Olympiacos,6.87,1.09,74.0,88.0,Diplo,162.0,164.5,Under,2.5,72.0,108.0
56.0,09/10/2021,17:00:00,LNB,Limoges,Le Portel,1.24,3.99,79.0,70.0,Assos,149.0,150.5,Under,1.5,77.0,64.0
57.0,09/10/2021,17:15:00,LNB,Nanterre,Levallois,1.92,1.87,80.0,81.0,Diplo,161.0,162.5,Under,1.5,76.0,104.0
58.0,09/10/2021,18:00:00,LNB,Orleans,Cholet,1.7,2.15,78.0,76.0,Assos,154.0,155.5,Under,1.5,88.0,81.0
59.0,09/10/2021,18:00:00,LNB,Pau-Orthez,Chalons-Reims,1.4,2.97,83.0,76.0,Assos,159.0,160.0,Under,1.0,92.0,67.0
60.0,09/10/2021,18:00:00,BBL,Chemnitz,Bayreuth,1.74,2.09,83.0,83.0,Diplo,166.0,166.0,Under,0.0,72.0,86.0
61.0,09/10/2021,18:00:00,BBL,Ulm,Bamberg,1.38,3.02,84.0,78.0,Assos,162.0,162.5,Under,0.5,83.0,94.0
62.0,09/10/2021,18:00:00,ACB,Fuenlabrada,San Pablo Burgos,1.97,1.84,81.0,83.0,Diplo,164.0,165.0,Under,1.0,91.0,96.0
63.0,09/10/2021,18:00:00,ACB,Tenerife,Basket Zaragoza,1.27,3.84,86.0,79.0,Assos,165.0,163.0,Over,2.0,90.0,65.0
64.0,09/10/2021,18:00:00,VTB,Tsmoki Minsk,Parma Perm,3.36,1.31,70.0,78.0,Diplo,148.0,151.5,Under,3.5,75.0,78.0
65.0,09/10/2021,18:00:00,ACB,MoraBanc Andorra,Gran Canaria,2.3,1.63,78.0,81.0,Diplo,159.0,158.5,Over,0.5,87.0,71.0
66.0,09/10/2021,18:30:00,ACB,Murcia,Bilbao,1.27,3.77,88.0,79.0,Assos,167.0,164.5,Over,2.5,92.0,87.0
67.0,09/10/2021,18:30:00,VTB,Nizhny Novgorod,Astana,1.31,3.37,82.0,75.0,Assos,157.0,156.5,Over,0.5,76.0,73.0
68.0,09/10/2021,18:45:00,BBL,Bayern,Basketball Braunschweig,1.05,10.08,92.0,73.0,Assos,165.0,163.0,Over,2.0,96.0,80.0
69.0,09/10/2021,18:45:00,BBL,Frankfurt,Hamburg,2.88,1.41,76.0,81.0,Diplo,157.0,157.5,Under,0.5,64.0,74.0
70.0,10/10/2021,10:00:00,BBL,Syntainics MBC,Crailsheim Merlins,2.6,1.49,84.0,87.0,Diplo,171.0,168.5,Over,2.5,116.0,111.0
71.0,10/10/2021,10:00:00,VTB,BC Kalev/Cramo,Enisey,1.69,2.12,84.0,83.0,Assos,167.0,166.5,Over,0.5,81.0,87.0
72.0,10/10/2021,10:30:00,Super-Lig,Anadolu Efes,Pinar Karsiyaka,1.24,4.0,85.0,76.0,Assos,161.0,160.5,Over,0.5,78.0,77.0
73.0,10/10/2021,10:30:00,LNB,Lyon-Villeurbanne,Dijon,1.25,3.91,83.0,75.0,Assos,158.0,157.0,Over,1.0,73.0,49.0
74.0,10/10/2021,11:30:00,LNB,Monaco,Le Mans,1.16,5.23,89.0,77.0,Assos,166.0,165.0,Over,1.0,81.0,70.0
75.0,10/10/2021,12:30:00,ACB,Real Betis,Barcelona,7.92,1.08,72.0,85.0,Diplo,157.0,158.0,Under,1.0,61.0,78.0
76.0,10/10/2021,13:00:00,Lega-A,Varese,Olimpia Milano,5.67,1.14,73.0,84.0,Diplo,157.0,156.5,Over,0.5,79.0,82.0
77.0,10/10/2021,13:00:00,Lega-A,Venezia,Virtus Bologna,2.18,1.66,75.0,77.0,Diplo,152.0,155.5,Under,3.5,65.0,84.0
78.0,10/10/2021,13:00:00,BBL,Ludwigsburg,Alba Berlin,2.19,1.67,79.0,80.0,Diplo,159.0,160.0,Under,1.0,74.0,62.0
79.0,10/10/2021,14:00:00,Lega-A,Sassari,Reggiana,1.38,3.03,84.0,78.0,Assos,162.0,161.5,Over,0.5,96.0,93.0
80.0,10/10/2021,15:00:00,ACB,Valencia,Real Madrid,2.83,1.43,76.0,80.0,Diplo,156.0,157.0,Under,1.0,79.0,93.0
81.0,10/10/2021,15:00:00,Super-Lig,Buyukcekmece,Turk Telekom,3.99,1.24,74.0,83.0,Diplo,157.0,157.5,Under,0.5,81.0,71.0
82.0,10/10/2021,15:00:00,Lega-A,Trieste,Brescia,1.7,2.13,80.0,78.0,Assos,158.0,158.5,Under,0.5,80.0,72.0
83.0,10/10/2021,15:00:00,ACB,Baskonia,Obradoiro CAB,1.23,4.25,84.0,75.0,Assos,159.0,159.0,Under,0.0,91.0,70.0
84.0,10/10/2021,15:00:00,Lega-A,Fortitudo Bologna,Pesaro,1.62,2.27,77.0,75.0,Assos,152.0,154.0,Under,2.0,87.0,66.0
85.0,10/10/2021,15:30:00,Champions-League,Tofas,BC Kalev/Cramo,1.25,3.72,89.0,82.0,Assos,171.0,168.5,Over,2.5,77.0,81.0
86.0,10/10/2021,16:00:00,Euroleague,Unics Kazan,Bayern,1.64,2.34,77.0,76.0,Assos,153.0,154.5,Under,1.5,73.0,70.0
87.0,10/10/2021,16:00:00,Champions-League,PAOK,Nymburk,1.7,2.1,86.0,85.0,Assos,171.0,166.5,Over,4.5,83.0,84.0
88.0,10/10/2021,16:30:00,Euroleague,CSKA Moscow,Zenit Petersburg,1.29,3.9,81.0,73.0,Assos,154.0,155.0,Under,1.0,77.0,67.0
89.0,10/10/2021,16:30:00,Euroleague,Alba Berlin,Fenerbahce,3.61,1.3,75.0,80.0,Diplo,155.0,158.0,Under,3.0,84.0,70.0
90.0,10/10/2021,17:15:00,Euroleague,Lyon-Villeurbanne,Anadolu Efes,3.52,1.31,77.0,85.0,Diplo,162.0,160.5,Over,1.5,75.0,73.0
91.0,10/10/2021,17:30:00,Euroleague,Baskonia,Panathinaikos,1.48,2.71,79.0,74.0,Assos,153.0,155.5,Under,2.5,81.0,79.0
92.0,10/10/2021,18:00:00,Euroleague,Olimpia Milano,Maccabi Tel Aviv,1.32,3.49,78.0,76.0,Assos,154.0,154.0,Under,0.0,83.0,72.0
93.0,10/10/2021,18:45:00,Champions-League,Igokea,Galatasaray,1.95,1.81,81.0,82.0,Diplo,163.0,163.0,Under,0.0,85.0,89.0
94.0,12/10/2021,16:00:00,Euroleague,Crvena zvezda mts,Zalgiris Kaunas,1.38,3.12,75.0,68.0,Assos,143.0,145.5,Under,2.5,73.0,61.0
95.0,12/10/2021,16:00:00,Champions-League,Hapoel Jerusalem,Manresa,1.44,2.72,86.0,81.0,Assos,167.0,165.5,Over,1.5,68.0,73.0
96.0,12/10/2021,16:30:00,Champions-League,Tenerife,Sassari,1.29,3.45,87.0,79.0,Assos,166.0,164.5,Over,1.5,87.0,60.0
97.0,12/10/2021,17:00:00,Euroleague,Real Madrid,Monaco,1.18,5.0,85.0,77.0,Assos,162.0,162.0,Under,0.0,94.0,86.0
98.0,12/10/2021,18:00:00,Euroleague,Barcelona,Olympiacos,1.27,3.88,79.0,73.0,Assos,152.0,151.0,Over,1.0,79.0,78.0
5.0,13/10/2021,18:30:00,Euroleague,Zenit Petersburg,Bayern,1.31,3.58,78.0,69.0,Assos,147.0,147.0,Under,0.0,79.0,71.0
6.0,13/10/2021,18:45:00,Euroleague,Fenerbahce,Unics Kazan,1.51,2.66,78.0,75.0,Assos,153.0,152.5,Over,0.5,80.0,41.0
7.0,14/10/2021,17:00:00,Euroleague,Alba Berlin,Baskonia,1.7,2.18,75.0,78.0,Diplo,153.0,152.5,Over,0.5,76.0,80.0
8.0,14/10/2021,17:45:00,Euroleague,Lyon-Villeurbanne,Maccabi Tel Aviv,1.42,2.9,80.0,75.0,Assos,155.0,154.5,Over,0.5,85.0,93.0
0.0,15/10/2021,17:00:00,Euroleague,Monaco,Barcelona,3.46,1.32,72.0,81.0,Diplo,153.0,155.0,Under,2.0,81.0,85.0
1.0,15/10/2021,18:00:00,LNB,Chalons-Reims,Le Portel,1.47,2.67,81.0,77.0,Assos,158.0,158.5,Under,0.5,106.0,73.0
2.0,15/10/2021,18:00:00,LNB,Fos-sur-Mer,Orleans,2.02,1.78,75.0,77.0,Diplo,152.0,155.5,Under,3.5,83.0,52.0
3.0,15/10/2021,18:00:00,LNB,Roanne,Limoges,1.85,1.95,76.0,77.0,Diplo,153.0,155.5,Under,2.5,70.0,93.0
4.0,15/10/2021,18:30:00,BBL,Bonn,Frankfurt,1.23,4.13,83.0,75.0,Assos,158.0,157.5,Over,0.5,86.0,76.0
5.0,15/10/2021,18:30:00,Lega-A,Brindisi,Fortitudo Bologna,1.26,3.77,83.0,75.0,Assos,158.0,158.0,Under,0.0,105.0,93.0
6.0,15/10/2021,18:30:00,LNB,Levallois,Gravelines-Dunkerque,1.16,5.12,87.0,74.0,Assos,161.0,160.0,Over,1.0,72.0,65.0
7.0,15/10/2021,18:30:00,Lega-A,Olimpia Milano,Anadolu Efes,1.65,2.27,81.0,78.0,Assos,159.0,161.0,Under,2.0,75.0,71.0
8.0,16/10/2021,08:00:00,VTB,Astana,Zielona Gora,1.43,2.76,83.0,78.0,Assos,161.0,163.5,Under,2.5,84.0,70.0
