,Date,Time,League,Home_Team,Away_Team,Odd_Home_Mean,Odd_Away_Mean,Pred_Score_Home,Pred_Score_Away,Predicted_Result,Predicted_Points_Sum,Line,Predicted_Line,Difference,Actual_Score_Home,Actual_Score_Away
64.0,23/10/2021,16:00:00,BBL,Bayreuth,Crailsheim Merlins,1.54,2.47,85.0,81.0,Assos,166.0,166.5,Under,0.5,74.0,86.0
65.0,23/10/2021,16:00:00,BBL,Giessen,Syntainics MBC,2.09,1.74,84.0,87.0,Diplo,171.0,172.0,Under,1.0,100.0,81.0
66.0,23/10/2021,16:00:00,ACB,Real Betis,Obradoiro CAB,1.62,2.36,86.0,82.0,Assos,168.0,166.5,Over,1.5,76.0,87.0
67.0,23/10/2021,17:00:00,Basket-League,AEK Athens,Aris,1.1,6.52,84.0,70.0,Assos,154.0,155.5,Under,1.5,64.0,63.0
68.0,23/10/2021,18:00:00,LNB,Le Portel,JL Bourg,3.38,1.34,71.0,78.0,Diplo,149.0,152.0,Under,3.0,71.0,54.0
69.0,23/10/2021,18:00:00,LNB,Limoges,Cholet,1.35,3.29,80.0,73.0,Assos,153.0,154.5,Under,1.5,79.0,91.0
70.0,23/10/2021,18:00:00,LNB,Nanterre,Fos-sur-Mer,1.24,4.21,84.0,75.0,Assos,159.0,157.5,Over,1.5,74.0,85.0
71.0,23/10/2021,18:30:00,BBL,Basketball Braunschweig,Bamberg,2.51,1.53,83.0,87.0,Diplo,170.0,170.0,Under,0.0,90.0,84.0
72.0,23/10/2021,18:30:00,ACB,MoraBanc Andorra,Valencia,2.57,1.54,78.0,80.0,Diplo,158.0,158.5,Under,0.5,75.0,76.0
73.0,23/10/2021,18:45:00,ACB,Tenerife,Joventut Badalona,1.39,3.11,83.0,75.0,Assos,158.0,159.5,Under,1.5,72.0,79.0
74.0,23/10/2021,18:45:00,ACB,Fuenlabrada,Manresa,1.73,2.17,86.0,85.0,Assos,171.0,169.5,Over,1.5,90.0,82.0
75.0,24/10/2021,10:30:00,ACB,Real Madrid,Gran Canaria,1.16,5.54,85.0,71.0,Assos,156.0,156.5,Under,0.5,70.0,75.0
76.0,24/10/2021,10:30:00,BBL,Alba Berlin,Gottingen,1.1,6.77,90.0,75.0,Assos,165.0,164.0,Over,1.0,59.0,65.0
77.0,24/10/2021,13:00:00,BBL,Ludwigsburg,Bonn,1.44,2.8,83.0,77.0,Assos,160.0,160.0,Under,0.0,91.0,86.0
78.0,24/10/2021,13:00:00,ACB,Bilbao,San Pablo Burgos,2.51,1.55,78.0,80.0,Diplo,158.0,157.5,Over,0.5,87.0,81.0
79.0,24/10/2021,15:00:00,BBL,Chemnitz,Ulm,2.44,1.55,83.0,86.0,Diplo,169.0,167.5,Over,1.5,78.0,81.0
80.0,24/10/2021,16:00:00,Lega-A,Fortitudo Bologna,Olimpia Milano,6.88,1.12,70.0,84.0,Diplo,154.0,157.5,Under,3.5,75.0,86.0
81.0,24/10/2021,16:15:00,Lega-A,Sassari,Brescia,1.35,3.27,85.0,78.0,Assos,163.0,162.5,Over,0.5,65.0,76.0
82.0,24/10/2021,16:15:00,Lega-A,Trento,Treviso,1.6,2.36,81.0,78.0,Assos,159.0,158.5,Over,0.5,75.0,79.0
83.0,24/10/2021,16:15:00,Lega-A,Varese,Reggiana,1.69,2.19,80.0,77.0,Assos,157.0,158.5,Under,1.5,67.0,106.0
84.0,24/10/2021,16:15:00,ACB,Unicaja,Barcelona,3.44,1.33,72.0,78.0,Diplo,150.0,153.5,Under,3.5,73.0,75.0
85.0,24/10/2021,16:15:00,ACB,Murcia,Baskonia,2.0,1.86,79.0,82.0,Diplo,161.0,163.0,Under,2.0,80.0,79.0
86.0,24/10/2021,10:00:00,LNB,Lyon-Villeurbanne,Chalons-Reims,1.09,7.74,89.0,76.0,Assos,165.0,162.5,Over,2.5,94.0,81.0
87.0,24/10/2021,12:30:00,LNB,Pau-Orthez,Monaco,3.13,1.37,78.0,84.0,Diplo,162.0,162.0,Under,0.0,66.0,74.0
88.0,24/10/2021,15:00:00,Super-Lig,Petkim Spor,Turk Telekom,2.86,1.4,72.0,77.0,Diplo,149.0,150.5,Under,1.5,71.0,59.0
89.0,24/10/2021,16:15:00,VTB,Zielona Gora,Nizhny Novgorod,1.6,2.35,82.0,78.0,Assos,160.0,158.0,Over,2.0,77.0,95.0
0.0,26/10/2021,16:00:00,Champions-League,BC Kalev/Cramo,Oostende,1.57,2.36,83.0,80.0,Assos,163.0,159.5,Over,3.5,85.0,87.0
1.0,26/10/2021,16:00:00,Eurocup,Lietkabelis,Lokomotiv Kuban,3.45,1.31,82.0,91.0,Diplo,173.0,168.5,Over,4.5,84.0,85.0
2.0,26/10/2021,16:00:00,Champions-League,Pinar Karsiyaka,Manresa,1.44,2.74,82.0,77.0,Assos,159.0,156.5,Over,2.5,67.0,72.0
3.0,26/10/2021,16:30:00,Champions-League,Nymburk,Igokea,1.4,2.91,86.0,80.0,Assos,166.0,163.0,Over,3.0,86.0,82.0
4.0,26/10/2021,16:30:00,Eurocup,Promitheas,Gran Canaria,2.04,1.78,81.0,83.0,Diplo,164.0,163.5,Over,0.5,81.0,85.0
5.0,26/10/2021,17:00:00,Euroleague,Monaco,Crvena zvezda mts,1.41,2.99,77.0,70.0,Assos,147.0,148.5,Under,1.5,70.0,62.0
6.0,26/10/2021,17:45:00,Euroleague,Fenerbahce,Barcelona,2.47,1.56,72.0,76.0,Diplo,148.0,148.5,Under,0.5,74.0,76.0
7.0,26/10/2021,18:00:00,Euroleague,Olympiacos,Alba Berlin,1.17,5.21,84.0,72.0,Assos,156.0,155.0,Over,1.0,87.0,83.0
8.0,26/10/2021,18:00:00,Eurocup,Venezia,Bursaspor,1.24,4.03,82.0,72.0,Assos,154.0,152.0,Over,2.0,62.0,70.0
9.0,26/10/2021,18:05:00,Euroleague,Maccabi Tel Aviv,Zalgiris Kaunas,1.25,4.09,82.0,74.0,Assos,156.0,154.5,Over,1.5,76.0,62.0
10.0,26/10/2021,18:30:00,Champions-League,Strasbourg,Tofas,1.69,2.13,83.0,81.0,Assos,164.0,162.0,Over,2.0,74.0,76.0
11.0,26/10/2021,18:45:00,Euroleague,Bayern,Olimpia Milano,2.27,1.66,74.0,76.0,Diplo,150.0,149.5,Over,0.5,83.0,77.0
12.0,26/10/2021,19:00:00,Eurocup,Joventut Badalona,Hamburg,1.17,5.05,87.0,73.0,Assos,160.0,159.0,Over,1.0,73.0,56.0
13.0,27/10/2021,16:00:00,Euroleague,Unics Kazan,Baskonia,1.58,2.43,76.0,72.0,Assos,148.0,148.0,Under,0.0,83.0,69.0
14.0,27/10/2021,17:00:00,Eurocup,Buducnost,Valencia,1.81,2.01,79.0,79.0,Assos,158.0,156.0,Over,2.0,71.0,70.0
15.0,27/10/2021,17:00:00,Euroleague,Zenit Petersburg,Real Madrid,2.4,1.6,73.0,77.0,Diplo,150.0,150.5,Under,0.5,68.0,75.0
16.0,27/10/2021,18:00:00,Eurocup,Cedevita Olimpija,JL Bourg,1.43,2.85,78.0,73.0,Assos,151.0,151.5,Under,0.5,91.0,79.0
17.0,27/10/2021,18:00:00,Champions-League,Ludwigsburg,Tenerife,2.12,1.7,76.0,78.0,Diplo,154.0,155.5,Under,1.5,80.0,69.0
18.0,27/10/2021,18:00:00,Euroleague,Lyon-Villeurbanne,CSKA Moscow,2.97,1.41,77.0,83.0,Diplo,160.0,159.5,Over,0.5,70.0,68.0
19.0,27/10/2021,18:00:00,Eurocup,MoraBanc Andorra,Trento,1.2,4.55,83.0,73.0,Assos,156.0,155.0,Over,1.0,85.0,73.0
20.0,27/10/2021,18:00:00,Euroleague,Panathinaikos,Anadolu Efes,2.77,1.46,77.0,82.0,Diplo,159.0,157.5,Over,1.5,95.0,69.0
21.0,27/10/2021,18:00:00,Eurocup,Partizan,Turk Telekom,1.15,5.41,79.0,67.0,Assos,146.0,147.0,Under,1.0,85.0,59.0
22.0,27/10/2021,18:30:00,Eurocup,Virtus Bologna,Ulm,1.13,6.05,89.0,77.0,Assos,166.0,166.0,Under,0.0,87.0,76.0
23.0,27/10/2021,18:30:00,Euroleague,Alba Berlin,Bayern,2.21,1.71,78.0,81.0,Diplo,159.0,157.5,Over,1.5,69.0,82.0
24.0,27/10/2021,18:30:00,Euroleague,Olympiacos,Fenerbahce,1.61,2.38,78.0,76.0,Assos,154.0,153.5,Over,0.5,67.0,65.0
25.0,27/10/2021,18:30:00,Euroleague,Maccabi Tel Aviv,Barcelona,2.64,1.51,74.0,79.0,Diplo,153.0,153.5,Under,0.5,85.0,68.0
0.0,29/10/2021,16:00:00,Euroleague,Unics Kazan,Real Madrid,2.76,1.46,73.0,80.0,Diplo,153.0,153.5,Under,0.5,65.0,58.0
1.0,29/10/2021,17:00:00,Euroleague,Zenit Petersburg,Baskonia,1.39,3.07,78.0,70.0,Assos,148.0,149.0,Under,1.0,83.0,54.0
2.0,29/10/2021,17:30:00,Euroleague,Anadolu Efes,Zalgiris Kaunas,1.17,5.42,83.0,72.0,Assos,155.0,155.5,Under,0.5,94.0,60.0
3.0,29/10/2021,18:00:00,LNB,Fos-sur-Mer,Le Portel,1.44,2.82,80.0,74.0,Assos,154.0,153.0,Over,1.0,78.0,76.0
4.0,29/10/2021,18:00:00,Euroleague,Monaco,CSKA Moscow,2.59,1.52,77.0,82.0,Diplo,159.0,157.5,Over,1.5,97.0,80.0
5.0,29/10/2021,18:00:00,Euroleague,Panathinaikos,Lyon-Villeurbanne,1.52,2.6,82.0,78.0,Assos,160.0,158.0,Over,2.0,70.0,84.0
6.0,29/10/2021,18:00:00,LNB,Roanne,Cholet,1.96,1.86,85.0,87.0,Diplo,172.0,167.0,Over,5.0,105.0,81.0
7.0,29/10/2021,18:30:00,LNB,Levallois,Dijon,1.44,2.83,83.0,77.0,Assos,160.0,157.0,Over,3.0,87.0,74.0
0.0,30/10/2021,10:00:00,Super-Lig,Buyukcekmece,Petkim Spor,1.69,2.1,78.0,77.0,Assos,155.0,155.5,Under,0.5,81.0,66.0
1.0,30/10/2021,12:30:00,Super-Lig,Galatasaray,Bursaspor,1.38,2.88,85.0,80.0,Assos,165.0,165.0,Under,0.0,99.0,84.0
2.0,30/10/2021,15:00:00,ACB,MoraBanc Andorra,Unicaja,2.03,1.8,76.0,77.0,Diplo,153.0,155.5,Under,2.5,83.0,74.0
3.0,30/10/2021,16:00:00,ACB,Obradoiro CAB,Tenerife,3.18,1.36,77.0,86.0,Diplo,163.0,163.0,Under,0.0,81.0,84.0
4.0,30/10/2021,16:00:00,BBL,Syntainics MBC,Ludwigsburg,2.76,1.46,82.0,87.0,Diplo,169.0,166.5,Over,2.5,80.0,88.0
5.0,30/10/2021,16:00:00,BBL,Ulm,Frankfurt,1.07,8.78,87.0,70.0,Assos,157.0,156.0,Over,1.0,80.0,88.0
6.0,30/10/2021,16:00:00,Super-Lig,Turk Telekom,Bahcesehir Kol.,1.65,2.15,73.0,73.0,Assos,146.0,148.0,Under,2.0,74.0,75.0
7.0,30/10/2021,17:15:00,Lega-A,Brindisi,Venezia,1.67,2.21,77.0,75.0,Assos,152.0,154.0,Under,2.0,81.0,80.0
8.0,30/10/2021,17:30:00,LNB,Le Mans,Limoges,1.37,3.14,83.0,76.0,Assos,159.0,158.5,Over,0.5,77.0,72.0
9.0,30/10/2021,18:00:00,LNB,Nanterre,Chalons-Reims,1.42,2.91,88.0,83.0,Assos,171.0,168.0,Over,3.0,83.0,78.0
10.0,30/10/2021,18:00:00,LNB,Strasbourg,Pau-Orthez,1.4,2.96,82.0,76.0,Assos,158.0,157.5,Over,0.5,82.0,76.0
11.0,30/10/2021,18:00:00,BBL,Bonn,Chemnitz,1.38,3.06,87.0,82.0,Assos,169.0,168.5,Over,0.5,76.0,67.0
12.0,30/10/2021,18:00:00,BBL,Crailsheim Merlins,Basketball Braunschweig,1.32,3.4,90.0,84.0,Assos,174.0,174.0,Under,0.0,92.0,90.0
13.0,30/10/2021,18:30:00,LNB,JL Bourg,Gravelines-Dunkerque,1.36,3.15,79.0,73.0,Assos,152.0,152.0,Under,0.0,66.0,81.0
14.0,30/10/2021,18:30:00,ACB,Gran Canaria,Basket Zaragoza,1.33,3.35,83.0,76.0,Assos,159.0,158.0,Over,1.0,79.0,76.0
15.0,30/10/2021,18:30:00,ACB,Joventut Badalona,San Pablo Burgos,1.47,2.73,79.0,74.0,Assos,153.0,155.5,Under,2.5,82.0,65.0
16.0,30/10/2021,18:30:00,ACB,Barcelona,Fuenlabrada,1.05,11.34,89.0,71.0,Assos,160.0,160.5,Under,0.5,79.0,69.0
17.0,30/10/2021,18:45:00,ACB,Valencia,Real Betis,1.12,6.59,86.0,73.0,Assos,159.0,157.5,Over,1.5,81.0,84.0
18.0,30/10/2021,18:45:00,BBL,Bayreuth,Bayern,4.74,1.19,71.0,84.0,Diplo,155.0,157.0,Under,2.0,78.0,87.0
19.0,31/10/2021,10:30:00,BBL,Gottingen,Oldenburg,1.79,2.03,80.0,80.0,Diplo,160.0,160.5,Under,0.5,95.0,85.0
20.0,31/10/2021,10:30:00,VTB,Zielona Gora,Tsmoki Minsk,1.37,3.03,87.0,81.0,Assos,168.0,164.5,Over,3.5,95.0,64.0
21.0,31/10/2021,13:00:00,BBL,s.Oliver Wurzburg,Giessen,1.54,2.49,83.0,81.0,Assos,164.0,165.5,Under,1.5,82.0,69.0
22.0,31/10/2021,13:00:00,ACB,Breogan,Murcia,2.17,1.71,77.0,80.0,Diplo,157.0,157.5,Under,0.5,94.0,89.0
23.0,31/10/2021,13:00:00,Lega-A,Olimpia Milano,Sassari,1.2,4.82,85.0,76.0,Assos,161.0,161.5,Under,0.5,79.0,50.0
24.0,31/10/2021,13:00:00,Lega-A,Brescia,Fortitudo Bologna,1.28,3.9,85.0,77.0,Assos,162.0,162.5,Under,0.5,97.0,81.0
25.0,31/10/2021,14:00:00,BBL,Bamberg,Alba Berlin,2.36,1.6,76.0,80.0,Diplo,156.0,157.5,Under,1.5,89.0,101.0
26.0,31/10/2021,15:00:00,Lega-A,Pesaro,Trento,1.58,2.44,81.0,77.0,Assos,158.0,156.5,Over,1.5,75.0,79.0
27.0,31/10/2021,15:00:00,Super-Lig,Tofas,Anadolu Efes,2.58,1.5,84.0,87.0,Diplo,171.0,168.5,Over,2.5,94.0,107.0
28.0,31/10/2021,15:30:00,ACB,Baskonia,Real Madrid,2.44,1.58,73.0,76.0,Diplo,149.0,151.5,Under,2.5,65.0,83.0
29.0,31/10/2021,16:00:00,ACB,Manresa,Bilbao,1.38,3.09,87.0,81.0,Assos,168.0,166.0,Over,2.0,87.0,79.0
30.0,31/10/2021,16:00:00,Lega-A,Treviso,Varese,1.2,4.79,81.0,72.0,Assos,153.0,155.5,Under,2.5,96.0,78.0
31.0,31/10/2021,16:15:00,VTB,Parma Perm,Unics Kazan,3.26,1.35,72.0,80.0,Diplo,152.0,153.5,Under,1.5,66.0,73.0
32.0,31/10/2021,16:30:00,Basket-League,Panathinaikos,Kolossos Rhodes,1.03,11.43,91.0,72.0,Assos,163.0,161.5,Over,1.5,77.0,54.0
0.0,02/11/2021,17:00:00,Champions-League,Lavrio,Nizhny Novgorod,1.78,1.99,76.0,76.0,Diplo,152.0,150.5,Over,1.5,95.0,86.0
1.0,02/11/2021,17:30:00,Eurocup,Hamburg,MoraBanc Andorra,2.49,1.55,76.0,79.0,Diplo,155.0,155.5,Under,0.5,91.0,97.0
2.0,02/11/2021,18:30:00,Eurocup,JL Bourg,Promitheas,1.62,2.33,78.0,79.0,Diplo,157.0,156.5,Over,0.5,92.0,62.0
3.0,02/11/2021,19:00:00,LNB,Strasbourg,Orleans,1.21,4.42,87.0,77.0,Assos,164.0,162.0,Over,2.0,90.0,75.0
4.0,02/11/2021,19:00:00,Eurocup,Trento,Lietkabelis,1.37,3.16,80.0,72.0,Assos,152.0,152.5,Under,0.5,61.0,77.0
5.0,02/11/2021,19:00:00,Eurocup,Partizan,Joventut Badalona,1.27,3.86,80.0,71.0,Assos,151.0,151.5,Under,0.5,68.0,67.0
6.0,02/11/2021,19:30:00,Champions-League,San Pablo Burgos,Oldenburg,1.22,4.23,84.0,75.0,Assos,159.0,158.5,Over,0.5,92.0,80.0
7.0,02/11/2021,19:30:00,BBL,s.Oliver Wurzburg,Bayern,5.83,1.14,71.0,83.0,Diplo,154.0,155.5,Under,1.5,90.0,70.0
0.0,03/11/2021,16:30:00,Eurocup,Lokomotiv Kuban,Levallois,1.34,3.19,89.0,81.0,Assos,170.0,169.5,Over,0.5,99.0,85.0
1.0,03/11/2021,17:00:00,Eurocup,Bursaspor,Cedevita Olimpija,2.06,1.76,77.0,80.0,Diplo,157.0,160.5,Under,3.5,93.0,84.0
2.0,03/11/2021,17:00:00,Champions-League,VEF Riga,AEK Athens,1.88,1.88,77.0,80.0,Diplo,157.0,158.5,Under,1.5,92.0,76.0
3.0,03/11/2021,17:45:00,Champions-League,Hapoel Holon,Cluj Napoca,1.42,2.76,82.0,77.0,Assos,159.0,159.5,Under,0.5,78.0,68.0
4.0,03/11/2021,18:00:00,Eurocup,Buducnost,Virtus Bologna,2.76,1.44,78.0,83.0,Diplo,161.0,163.5,Under,2.5,86.0,82.0
5.0,03/11/2021,18:30:00,Eurocup,Ulm,Venezia,1.58,2.37,79.0,76.0,Assos,155.0,157.0,Under,2.0,90.0,83.0
6.0,03/11/2021,19:30:00,Champions-League,Treviso,Szombathely,1.23,3.99,86.0,77.0,Assos,163.0,164.0,Under,1.0,68.0,60.0
7.0,03/11/2021,19:30:00,Eurocup,Valencia,Gran Canaria,1.46,2.69,83.0,75.0,Assos,158.0,160.0,Under,2.0,89.0,90.0
0.0,04/11/2021,17:00:00,Euroleague,CSKA Moscow,Fenerbahce,1.46,2.79,81.0,74.0,Assos,155.0,154.5,Over,0.5,82.0,91.0
1.0,04/11/2021,17:00:00,Euroleague,Crvena zvezda mts,Panathinaikos,1.56,2.47,76.0,72.0,Assos,148.0,148.0,Under,0.0,81.0,48.0
2.0,04/11/2021,19:30:00,Euroleague,Olimpia Milano,Barcelona,1.81,2.02,75.0,76.0,Diplo,151.0,150.0,Over,1.0,75.0,70.0
3.0,04/11/2021,20:00:00,Euroleague,Lyon-Villeurbanne,Unics Kazan,1.5,2.64,80.0,74.0,Assos,154.0,152.0,Over,2.0,85.0,82.0
4.0,05/11/2021,17:30:00,Euroleague,Anadolu Efes,Zenit Petersburg,1.36,3.23,82.0,74.0,Assos,156.0,154.5,Over,1.5,79.0,90.0
5.0,05/11/2021,18:00:00,Euroleague,Zalgiris Kaunas,Alba Berlin,1.65,2.27,78.0,76.0,Assos,154.0,153.5,Over,0.5,71.0,79.0
6.0,05/11/2021,19:00:00,LNB,Chalons-Reims,Levallois,3.13,1.35,80.0,87.0,Diplo,167.0,165.0,Over,2.0,71.0,105.0
7.0,05/11/2021,19:00:00,LNB,Gravelines-Dunkerque,Le Portel,1.25,3.82,82.0,72.0,Assos,154.0,154.5,Under,0.5,101.0,58.0
8.0,05/11/2021,19:00:00,Euroleague,Olympiacos,Monaco,1.36,3.21,81.0,73.0,Assos,154.0,154.0,Under,0.0,86.0,65.0
9.0,05/11/2021,19:30:00,Euroleague,Baskonia,Maccabi Tel Aviv,1.92,1.9,75.0,78.0,Diplo,153.0,152.5,Over,0.5,69.0,87.0
10.0,05/11/2021,19:30:00,BBL,Ludwigsburg,Chemnitz,1.27,3.73,86.0,76.0,Assos,162.0,161.5,Over,0.5,74.0,76.0
11.0,05/11/2021,19:45:00,Euroleague,Bayern,Real Madrid,2.43,1.58,74.0,78.0,Diplo,152.0,152.5,Under,0.5,76.0,80.0
0.0,06/11/2021,10:00:00,Super-Lig,Gaziantep,Galatasaray,2.12,1.7,79.0,82.0,Diplo,161.0,163.5,Under,2.5,74.0,66.0
1.0,06/11/2021,12:30:00,Super-Lig,Besiktas,Afyon Belediye,1.21,4.27,80.0,72.0,Assos,152.0,153.0,Under,1.0,68.0,48.0
2.0,06/11/2021,15:00:00,Basket-League,AEK Athens,Kolossos Rhodes,1.27,3.72,80.0,73.0,Assos,153.0,154.5,Under,1.5,82.0,85.0
3.0,06/11/2021,15:00:00,ACB,Breogan,Gran Canaria,1.96,1.86,77.0,77.0,Diplo,154.0,155.5,Under,1.5,76.0,66.0
4.0,06/11/2021,17:00:00,BBL,Giessen,Crailsheim Merlins,2.21,1.67,83.0,86.0,Diplo,169.0,167.5,Over,1.5,70.0,104.0
5.0,06/11/2021,17:00:00,ACB,Murcia,Fuenlabrada,1.27,3.81,91.0,82.0,Assos,173.0,174.5,Under,1.5,99.0,76.0
6.0,06/11/2021,17:00:00,Super-Lig,Bursaspor,Tofas,1.95,1.82,83.0,85.0,Diplo,168.0,167.5,Over,0.5,87.0,75.0
7.0,06/11/2021,17:00:00,Lega-A,Trento,Brescia,1.75,2.07,80.0,78.0,Assos,158.0,158.5,Under,0.5,78.0,72.0
8.0,06/11/2021,17:15:00,LNB,Cholet,Le Mans,2.05,1.77,83.0,84.0,Diplo,167.0,166.5,Over,0.5,94.0,88.0
9.0,06/11/2021,18:00:00,LNB,Limoges,Dijon,1.74,2.08,75.0,73.0,Assos,148.0,149.0,Under,1.0,82.0,58.0
10.0,06/11/2021,19:00:00,LNB,Orleans,Nanterre,1.99,1.81,83.0,85.0,Diplo,168.0,167.5,Over,0.5,95.0,81.0
11.0,06/11/2021,19:00:00,LNB,Pau-Orthez,Fos-sur-Mer,1.34,3.27,82.0,75.0,Assos,157.0,156.0,Over,1.0,76.0,74.0
12.0,06/11/2021,19:00:00,LNB,Strasbourg,Roanne,1.18,4.81,89.0,78.0,Assos,167.0,167.0,Under,0.0,93.0,88.0
13.0,06/11/2021,19:00:00,Lega-A,Virtus Bologna,Pesaro,1.06,9.16,91.0,74.0,Assos,165.0,164.0,Over,1.0,88.0,75.0
14.0,06/11/2021,19:00:00,BBL,Basketball Braunschweig,Ulm,2.95,1.4,83.0,88.0,Diplo,171.0,172.5,Under,1.5,76.0,90.0
15.0,06/11/2021,19:00:00,BBL,Bonn,s.Oliver Wurzburg,1.28,3.7,85.0,78.0,Assos,163.0,162.5,Over,0.5,87.0,79.0
16.0,06/11/2021,19:30:00,Lega-A,Sassari,Trieste,1.42,2.85,82.0,76.0,Assos,158.0,157.5,Over,0.5,74.0,83.0
17.0,06/11/2021,19:30:00,ACB,San Pablo Burgos,Manresa,1.43,2.84,82.0,78.0,Assos,160.0,159.5,Over,0.5,82.0,90.0
18.0,06/11/2021,19:30:00,ACB,Valencia,Joventut Badalona,1.53,2.53,81.0,77.0,Assos,158.0,158.5,Under,0.5,71.0,70.0
19.0,06/11/2021,19:45:00,Super-Lig,Bahcesehir Kol.,Buyukcekmece,1.24,3.9,83.0,75.0,Assos,158.0,158.0,Under,0.0,87.0,91.0
20.0,06/11/2021,19:45:00,VTB,Saratov,Astana,1.32,3.33,88.0,82.0,Assos,170.0,168.5,Over,1.5,83.0,82.0
21.0,06/11/2021,20:00:00,VTB,Unics Kazan,CSKA Moscow,2.93,1.4,73.0,80.0,Diplo,153.0,154.0,Under,1.0,69.0,64.0
22.0,07/11/2021,10:00:00,ACB,Obradoiro CAB,Barcelona,6.19,1.13,70.0,82.0,Diplo,152.0,153.5,Under,1.5,65.0,79.0
23.0,07/11/2021,10:00:00,ACB,Tenerife,MoraBanc Andorra,1.3,3.59,82.0,75.0,Assos,157.0,157.5,Under,0.5,79.0,70.0
24.0,07/11/2021,11:00:00,VTB,Tsmoki Minsk,BC Kalev/Cramo,3.36,1.31,76.0,83.0,Diplo,159.0,158.5,Over,0.5,93.0,91.0
25.0,07/11/2021,11:30:00,Super-Lig,Petkim Spor,Darussafaka,2.72,1.44,72.0,75.0,Diplo,147.0,149.5,Under,2.5,57.0,76.0
26.0,07/11/2021,12:00:00,VTB,Lokomotiv Kuban,Enisey,1.15,5.34,91.0,79.0,Assos,170.0,173.0,Under,3.0,101.0,93.0
27.0,07/11/2021,12:00:00,BBL,Alba Berlin,Syntainics MBC,1.08,8.02,92.0,76.0,Assos,168.0,169.5,Under,1.5,92.0,72.0
28.0,07/11/2021,12:30:00,BBL,Frankfurt,Bamberg,3.8,1.27,75.0,84.0,Diplo,159.0,159.5,Under,0.5,72.0,77.0
29.0,07/11/2021,13:00:00,BBL,Hamburg,Gottingen,1.41,2.89,83.0,78.0,Assos,161.0,162.5,Under,1.5,83.0,46.0
30.0,07/11/2021,14:00:00,ACB,Basket Zaragoza,Real Betis,1.35,3.28,83.0,76.0,Assos,159.0,160.0,Under,1.0,82.0,72.0
31.0,07/11/2021,14:00:00,Lega-A,Fortitudo Bologna,Treviso,2.66,1.48,78.0,83.0,Diplo,161.0,163.0,Under,2.0,83.0,70.0
32.0,07/11/2021,14:00:00,LNB,JL Bourg,Monaco,2.33,1.59,76.0,78.0,Diplo,154.0,155.5,Under,1.5,88.0,63.0
33.0,07/11/2021,15:00:00,Lega-A,Cremona,Olimpia Milano,5.46,1.15,72.0,84.0,Diplo,156.0,156.0,Under,0.0,86.0,93.0
34.0,07/11/2021,16:00:00,BBL,Bayern,Oldenburg,1.1,6.97,88.0,74.0,Assos,162.0,161.0,Over,1.0,93.0,80.0
35.0,07/11/2021,16:00:00,Lega-A,Venezia,Reggiana,1.29,3.58,80.0,72.0,Assos,152.0,153.5,Under,1.5,94.0,74.0
36.0,07/11/2021,16:00:00,Super-Lig,Anadolu Efes,Turk Telekom,1.12,5.94,83.0,71.0,Assos,154.0,155.5,Under,1.5,79.0,66.0
37.0,07/11/2021,16:30:00,ACB,Baskonia,Unicaja,1.49,2.66,79.0,74.0,Assos,153.0,153.5,Under,0.5,92.0,89.0
38.0,07/11/2021,17:00:00,Lega-A,Varese,Brindisi,4.24,1.22,77.0,86.0,Diplo,163.0,162.5,Over,0.5,71.0,84.0
39.0,07/11/2021,17:00:00,ACB,Real Madrid,Bilbao,1.07,9.15,88.0,71.0,Assos,159.0,159.5,Under,0.5,95.0,61.0
40.0,07/11/2021,17:15:00,VTB,Zenit Petersburg,Zielona Gora,1.05,10.31,83.0,69.0,Assos,152.0,154.5,Under,2.5,97.0,80.0
0.0,09/11/2021,17:00:00,Champions-League,Galatasaray,Igokea,1.32,3.3,87.0,79.0,Assos,166.0,164.5,Over,1.5,82.0,74.0
1.0,09/11/2021,17:30:00,Champions-League,Nymburk,PAOK,1.46,2.66,83.0,81.0,Assos,164.0,165.0,Under,1.0,71.0,75.0
2.0,09/11/2021,19:00:00,Eurocup,Venezia,Buducnost,1.59,2.33,77.0,77.0,Diplo,154.0,154.0,Under,0.0,72.0,67.0
3.0,09/11/2021,19:30:00,Eurocup,Levallois,Trento,1.26,3.81,84.0,75.0,Assos,159.0,158.0,Over,1.0,93.0,80.0
4.0,09/11/2021,20:00:00,Champions-League,Manresa,Pinar Karsiyaka,1.6,2.29,74.0,77.0,Diplo,151.0,154.0,Under,3.0,88.0,69.0
0.0,05/11/2021,23:00:00,NBA,Detroit Pistons,Brooklyn Nets,4.9,1.2,104.0,112.0,Diplo,216.0,211.5,Over,4.5,90.0,96.0
1.0,05/11/2021,23:00:00,NBA,Orlando Magic,San Antonio Spurs,2.43,1.6,104.0,108.0,Diplo,212.0,212.0,Under,0.0,89.0,102.0
2.0,05/11/2021,23:00:00,NBA,Washington Wizards,Memphis Grizzlies,1.91,1.94,110.0,112.0,Diplo,222.0,225.5,Under,3.5,115.0,87.0
3.0,05/11/2021,23:30:00,NBA,Milwaukee Bucks,New York Knicks,1.51,2.69,110.0,106.0,Assos,216.0,217.5,Under,1.5,98.0,113.0
4.0,05/11/2021,23:30:00,NBA,Toronto Raptors,Cleveland Cavaliers,1.42,2.98,108.0,102.0,Assos,210.0,212.5,Under,2.5,101.0,102.0
